year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,SolutionExplain
example,1,หน่วยงานที่ ทําหน้าที่ กํากับดูแลและพัฒนาตลาดทุนของประเทศไทย คือหน่วยงานใด,1. ธนาคารแห่งประเทศไทย 2. สํานักงานคณะกรรมการ ก.ล.ต. 3. ตลาดหลักทรัพย์แห่งประเทศไทย 4. คณะกรรมการนโยบายการเงิน,2,TRUE,TRUE,TRUE,สำนักงานคณะกรรมการ ก.ล.ต. เป็นองค์กรอิสระที่ทำหน้าที่ในการกำกับดูแลและพัฒนา ตลาดทุนไทย รวมถึงการออกประกาศเพื่อบังคับกฎ ระเบียบ ข้อบังคับต่างๆต่อผู้ที่มีส่วน เกี่ยวข้องในธุรกิจหลักทรัพย์ เพื่อให้การดำเนินการและการพัฒนาตลาดทุนเป็นไปอย่าง ต่อเนื่องและมั่นคงในระยะยาว
example,2,การดำเนินการในตัวเลือกใด ไม่ใช้ บทบาทหน้าที่ของธนาคารแห่งประเทศไทย,1. การปรับลดอัตราดอกเบีQยนโยบาย  2. การทําธุรกรรม Swap กับสถาบันการเงิน  3. การซื้อขายหลักทรัพย์รัฐบาลกับ Primary Dealer  4. การปรับลดอัตราภาษีเงินได้,4,TRUE,TRUE,TRUE,"ตัวเลือกที่ 1, 2, 3 จัดเป็นการดำเนินการของธนาคารแห่งประเทศไทยผ่านตลาดการเงิน ส่วนตัวเลือกที่ 4 เป็นการดำเนินนโยบายการคลังของรัฐบาล ไม่ใช่บทบาทหน้าที่ของธนาคารแห่งประเทศไทย"
example,3,ตัวเลือกใดต่อไปนี้เป็นการลงทุนโดยตรงในตลาดการเงินระหว่างประเทศ,1. นาย ก. ซึ่งเป็นผู้ลงทุนชาวไทยลงทุนในหุ้นสามัญของ Apple Inc. ซึ่งเป็นบริษัทจดทะเบียนในตลาดหุ้นสหรัฐอเมริกา 2. ธนาคารรักชาติไทยซึ่งเป็นธนาคารที่จดทะเบียนในประเทศไทยลงทุนในหุ้นกู้อายุ 20 ปี ซึ่งออกและเสนอขายโดยธนาคารที่จดทะเบียนในประเทศสิงคโปร์ 3. บริษัทผู้ผลิตชิ้นส่วนรถยนต์ที่จดทะเบียนในประเทศไทยร่วมกับพันธมิตรทางธุรกิจจัดตั้งโรงงานผลิตชิ้นส่วนรถยนต์ในประเทศอินโดนิเซีย 4. นาย ข. ซึ่งเป็นผู้ลงทุนชาวไทยลงทุนในกองทุน FIF ที่มีนโยบายลงทุนในหุ้นสามัญของบริษัทญี่ปุ่นที่จดทะเบียนซื้อขายในตลาดหุ้นญี่ปุ่น,3,TRUE,TRUE,TRUE,"การลงทุนโดยตรงเป็นการส่งผ่านเงินลงทุนโดยไม่ผ่านสื่อกลางทางการเงิน แต่เป็นการเข้า ไปลงทุนโดยตรงในประเทศที่ผู้ลงทุนสนใจและพิจารณาแล้วว่าเป็นสถานที่ที่เหมาะสมแก่ การลงทุน เช่น การเข้าไปลงทุนจัดตั้งและบริหารโรงงานผลิตสินค้าในประเทศที่ผู้ลงทุนเห็น ว่ามีโอกาสทางธุรกิจที่ดีและมีความเสี่ยงในระดับที่รับได้ ตัวเลือก 1), 2) และ 4) เป็นการลงทุนแบบทางอ้อม ซึ่งเป็นการเข้าลงทุนในตราสารทาง การเงินของบริษัทในต่างประเทศ"
example,4,ตัวเลือกใดต่อไปนี้จัดเป็นความเสี่ยงที่เป็นระบบ (Systematic Risk),1. ความเสี่ยงทางธุรกิจ (Business Risk) 2. ความเสี่ยงทางการเงิน (Financial Risk) 3. ความเสี่ยงจากภาวะเศรษฐกิจที่ตกต่ำ (Economic Downturn Risk) 4. ความเสี่ยงทางด้านเครดิต (Credit Risk),3,TRUE,TRUE,TRUE,"ตัวเลือกที่ 1, 2 และ 4 เป็นความเสี่ยงที่ไม่เป็นระบบ (Unsystematic Risk) ซึ่งเป็นความเสี่ยงที่เกิดขึ้นจากลักษณะเฉพาะตัวของหลักทรัพย์นั้นๆ ตัวเลือกที่ 3 เป็นความเสี่ยงที่เป็นระบบ (Systematic Risk) คือความเสี่ยงที่บริษัทไม่สามารถควบคุมได้และส่งผลกระทบต่อหลักทรัพย์ทุกๆ ในตลาด"
example,5,ตัวเลือกใดเป็นปัจจัยกำหนดอัตราผลตอบแทนที่ผู้ลงทุนต้องการ (Required Rate of Return) ในการพิจารณาเลือกลงทุนในหลักทรัพย์,1. โอกาสที่ราคาหลักทรัพย์จะสูงขึ้น 2. เงินปันผลที่นักลงทุนจะได้รับ 3. อัตราผลตอบแทนปราศจากความเสี่ยงที่แท้จริง ส่วนชดเชยเงินเฟ้อที่คาด ส่วนชดเชยความเสี่ยง 4. อัตราผลตอบแทนปราศจากความเสี่ยงที่เป็นตัวเงิน ส่วนชดเชยเงินเฟ้อที่คาด ส่วนชดเชยความเสี่ยง,3,TRUE,TRUE,TRUE,อัตราผลตอบแทนที่ผู้ลงทุนต้องการ = อัตราผลตอบแทนปราศจากความเสี่ยงที่แท้จริง + ส่วนชดเชยเงินเฟ้อที่คาด + และส่วนชดเชยความเสี่ยง
example,6,ผู้ลงทุนรายหนึ่งลงทุนในตัวเงินคลังที่ให้อัตราผลตอบแทนเท่ากับ 4% โดยมีอัตราผลตอบแทนที่ต้องการเท่ากับ5% ขณะที่อัตราเงินเฟ้อในปัจจุบันเท่ากับ 1.5% อัตราผลตอบแทนที่แท้จริงที่ปราศจากความเสี่ยง ที่ผู้ลงทุนจะได้รับเท่ากับเท่าใด,1. หุ้น AAA 2. หุ้น BBB 3. หุ้น CCC 4. ไม่สามารถสรุปได้จากข้อมูลที่มีอยู่,1,TRUE,TRUE,TRUE,ตัวเงินคลังเป็นตัวแทนอัตราผลตอบแทนที่เป็นตัวเงินที่ปราศจากความเสี่ยง = 4% อัตราผลตอบแทนที่เป็นตัวเงินที่ปราศจากความเสี่ยง = อัตราผลตอบแทนที่เป็นตัวเงินที่ ปราศจากความเสี่ยง - อัตราเงินเฟ้อ = 4% - 1.5% = 2.5%
example,7,"กำหนดให้อัตราผลตอบแทนจากการลงทุนและส่วนเบี่ยงเบนมาตรฐานของอัตราผลตอบแทนของหุ้น AAA , BBB และ CCC เป็นไปตามตารางข้างล่างดังต่อไปนี้ผู้ลงทุนควรตัดสินใจเลือกลงทุนในหุ้นตัวใด",,3,TRUE,TRUE,TRUE,จากการคำนวณในตารางข้างต้น จะเห็นว่าหุ้น CCC มีค่า Coefficient of Variation หรือ CV ต่ำสุด ซึ่งเท่ากับ 0.75 ซึ่งแสดงว่าหุ้น CCC มีความเสี่ยงต่อหนึ่งหน่วยผลตอบแทนต่ำกว่าหุ้น AAA และ BBB ดังนั้นผู้ลงทุนควรเลือกลงทุนในหุ้น CCC
example,8,หุ้นสามัญของบริษัทแห่งหนึ่งมีราคาตอนต้นปีเท่ากับ 60 บาทต่อหุ้น ในระหว่างปี บริษัทจ่ายเงินปันผลให้แก่ผู้ถือหุ้นในอัตรา 3 บาทต่อหุ้น และในระหว่างปี บริษัทได้ออกหุ้นเพิ่มทุน โดยให้สิทธิแก่ผู้ถือหุ้นเดิมในการซื้อหุ้นสามัญที่ออกใหม่ในอัตรา 1 หุ้นเดิมต่อหุ้นใหม่ 1 หุ้น ในราคาหุ้นละ 55 บาท ตอนสิ้นปี ราคาหุ้นของบริษัทอยู่ที่ 70 บาท จงคำนวณหาผลตอบแทนจากการลงทุนในหุ้นสามัญของบริษัทดังกล่าว,1. 22% 2. 25% 3. 30% 4. 47%,4,TRUE,TRUE,TRUE,HPR =[3+(70-60)+(70-55)]/60 = 47%
example,9,ในกรณีที่ผู้ลงทุนต้องการทราบเกี่ยวกับแหล่งที่มาและใช้ไปของกระแสเงินสดของกิจการ ในระหว่างงวดบัญชี ผู้ลงทุนควรพิจารณาและวิเคราะห์งบการเงินใดดังต่อไปนี้ จึงจะเหมาะสมที่สุด,1. งบแสดงฐานะการเงิน 2. งบกระแสเงินสด 3. งบกำไรขาดทุนเบ็ดเสร็จ 4. งบแสดงการเปลี่ยนแปลงในส่วนของผู้ถือหุ้น,2,TRUE,TRUE,TRUE,"ในกรณีที่ผู้ลงทุนต้องการทราบข้อมูลเกี่ยวกับการเปลี่ยนแปลงของกระแสเงินสดของกิจการในระหว่างงวด ผู้ลงทุนควรจะต้องพิจารณางบกระแสเงินสด (Statement of Cash Flows) ซึ่งจะให้ข้อมูลเกี่ยวกับการเปลี่ยนแปลงของกระแสเงินสดของกิจการจากกิจกรรมดำเนินงาน (Operating Cash Flows), กิจกรรมการลงทุน (Investing Cash Flows) และกิจกรรมการจัดหาเงินทุน (Financing Cash Flows)"
example,10,ตลาดหลักทรัพย์ที่มีประสิทธิภาพในระดับต่ำ การวิเคราะห์หลักทรัพย์รูปแบบใดจะไม่สามารถสร้างผลกำไรที่เกินปกติได้,1. การวิเคราะห์ด้วยปัจจัยพื้นฐาน 2. การวิเคราะห์ด้วยปัจจัยเชิงเทคนิค 3. การวิเคราะห์งบการเงิน 4. การวิเคราะห์โดยอาศัยข้อมูลภายในของบริษัท,2,TRUE,TRUE,TRUE,ตลาดที่มีประสิทธิภาพในระดับต่ำเป็นตลาดที่ราคาหลักทรัพย์ได้สะท้อนข้อมูลข่าวสารในอดีตที่เกิดขึ้นแล้ว โดยสามารถเรียกข้อมูลเหล่านี้ว่าเป็นข้อมูลตลาดซึ่งหมายถึงข้อมูลเกี่ยวกับราคาและการซื้อขายในอดีตของหลักทรัพย์ ดังนั้น ถ้าผู้ลงทุนเชื่อว่าตลาดมีประสิทธิภาพในระดับต่ำ การวิเคราะห์การลงทุนโดยใช้ข้อมูลตลาด เช่น การวิเคราะห์เชิงเทคนิค ไม่สามารถทำให้ผู้ลงทุนสร้างกำไรเกินปกติ (Abnormal Return) ได้อย่างสม่ำเสมอ
