year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,SolutionExplain
p3,1,ตัวเลือกใดไม่ถูกต้อง เกี่ยวกับสัญญาซื้อขายล่วงหน้า,1. สัญญาที่กำหนดให้คู่สัญญาฝ่ายหนึ่งส่งมอบสินค้าให้คู่สัญญาอีกฝ่ายหนึ่งซึ่งเป็นผู้ชำระราคา ณ เวลาใดเวลาหนึ่งในอนาคตโดยมีจำนวนและราคาตามที่กำหนดในสัญญา 2. สินค้าอ้างอิงต้องเป็นสินค้าที่มีตัวตนเท่านั้น เนื่องจากต้องมีขั้นตอนการส่งมอบสินค้าภายหลังครบอายุสัญญา 3. สัญญาซื้อขายล่วงหน้าเป็นสัญญาทางการเงินที่มีอายุจำกัด 4. มีการใช้เงินลงทุนน้อยกว่าเมื่อเทียบกับเงินที่ใช้ลงทุนโดยตรงในสินค้าอ้างอิง,2,TRUE,TRUE,TRUE,สินค้าอ้างอิง เป็นได้ทั้งสินค้าที่มีตัวตน และตัวแปรต่างๆ เช่น ดัชนีการเงิน อัตราดอกเบี้ย ซึ่งตัวแปรต่างๆ ไม่จำเป็นต้องส่งมอบสินค้า (Physical delivery) แต่จะใช้การชำระส่วนต่างเงินสด (Cash settlement) แทน
p3,2,ตัวเลือกใดถูกต้องเกี่ยวกับตราสารอนุพันธ์กล่าวถึงความแตกต่างระหว่างสัญญาฟอร์เวิร์ด และสัญญาฟิวเจอร์สได้ถูกต้อง,1. สัญญาฟอร์เวิร์ด ซื้อขายในศูนย์กลางซื้อขายที่ตั้งขึ้นเป็นทางการ Exchange แต่สัญญาฟิวเจอร์ส มักซื้อขายในตลาดที่ไม่เป็นทางการ 2. สัญญาฟอร์เวิร์ด มีลักษณะความเป็นมาตรฐานมากกว่าสัญญาฟิวเจอร์ส 3. สัญญาฟอร์เวิร์ด มีความเสี่ยงของคู่สัญญาสูงกว่าสัญญาฟิวเจอร์ส 4. สัญญาฟอร์เวิร์ด จำเป็นต้องปรับมูลค่าตามราคาตลาด ทุกสิ้นวัน Mark to Market ในขณะที่ สัญญาฟิวเจอร์ส ไม่จำเป็นต้องปรับมูลค่าตามราคาตลาด,3,TRUE,TRUE,TRUE,ตัวเลือก 1 ผิด การซื้อขายสัญญาฟิวเจอร์สซื้อขายในศูนย์ซื้อขาย [Exchange] แต่สัญญาฟอร์เวิร์ตเกิดจากการทำสัญญาตามความต้องการของคู่สัญญาจึงซื้อขายในตลาดต่อรองที่เป็นทางการ (OTC) ไม่เป็น ตัวเลือก 2 ผิด สัญญาฟิวเจอร์สมีความเป็นมาตรฐาน มีการกำหนดรูปแบบสัญญา [contract specification] ทุกสัญญาเหมือนกันหมด แต่สัญญาฟอร์เวิร์ตสามารถตกลงตามความต้องการของคู่สัญญา [customized contracts] ตัวเลือก 3 ถูก สัญญาฟอร์เวิร์ตเป็นการทำสัญญากันเองระหว่างนักลงทุนจึงมีความเสี่ยงคู่ของสัญญาสูงกว่าสัญญาฟิวเจอร์สซึ่งมีสำนักหักบัญชีเป็นฝ่ายกลางในสัญญาจึงไม่มีความเสี่ยงในการผิดนัดชำระหนี้ ตัวเลือก 4 ผิด สัญญาฟิวเจอร์สต้องมีการปรับมูลค่าทุกสิ้นวันทำการ ในขณะที่สัญญาฟอร์เวิร์ตมีการชำระและส่งมอบครั้งเดียวในวันที่ตรงกับกำหนดสัญญา
p3,3,ตัวเลือกใด ไม่ถูกต้องเกี่ยวกับประเภทของสัญญาซื้อขายล่วงหน้า,1. สัญญาฟอร์เวิร์ด เป็นสัญญาแบบพันธะผูกพัน 2. สัญญาออปชัน เป็นสัญญาแบบสิทธิเรียกร้อง Contingent Claimสัญญาฟิวเจอร์ส เป็นสัญญาแบบสิทธิเรียกร้อง 3. Claimสัญญาฟิวเจอร์ส เป็นสัญญาแบบสิทธิเรียกร้อง 4. สัญญาสวอป เป็นสัญญาแบบพันธะผูกพัน,3,TRUE,TRUE,TRUE,"สัญญาฟอร์เวิร์ด, สัญญาฟิวเจอร์ส, และสัญญาสวอป เป็นสัญญาซื้อขายล่วงหน้าแบบพันธะผูกพัน ส่วนสัญญาออปชันเป็นสัญญาซื้อขายล่วงหน้าแบบสิทธิเรียกร้อง"
p3,4,ตัวเลือกใดไม่ใช่ ประโยชน์ของสัญญาซื้อขายล่วงหน้า,1. ใช้บริหารความเสี่ยงจากราคา 2. ใช้ทำกำไรจากการเปลี่ยนแปลงของราคา 3. ใช้เป็นเครื่องมือสะท้อนราคาของสินค้าอ้างอิงในอนาคต 4. ใช้เป็นแหล่งระดมทุนสำหรับบริษัท,4,TRUE,TRUE,TRUE,สัญญาซื้อขายล่วงหน้าไม่ใช่แหล่งระดมทุนของบริษัท
p3,5,นาย ก ลงทุนในหุ้นที่อยู่ใน SET 50 ต่อมา นาย ก คาดการณ์ว่า ราคาหุ้นจะปรับ ลดลงในอีก 2-3 เดือนข้างหน้า จึงขายชอร์ต SET50 Index Futures จากการกระทำ ดังกล่าว แสดงว่า นาย ก เป็นผู้ลงทุนในตลาดสัญญาซื้อขายล่วงหน้าประเภทใด,1. ผู้เก็งกำไร 2. ผู้ประกันความเสี่ยง 3. ผู้ค้ากำไร 4. ผู้ดูแลสภาพคล่อง,2,TRUE,TRUE,TRUE,นาย ก. เป็นผู้ประกันความเสี่ยง โดยการขายชอร์ต SET50 Index Futures เพื่อนำกำไร (ขาดทุน) จาก SET50 Index Futures ไปหักล้างกับขาดทุน (กำไร) จากหุ้นใน SET50 ที่ถืออยู่
p3,6,ตัวเลือกใดถูกต้องเกี่ยวกับสัญญาฟิวเจอร์ส,1. ลักษณะของเป็นการต่อรองโดยตรงระหว่างผู้ซื้อและผู้ขายในตลาดที่ไม่เป็นทางการ (OTC) 2. สัญญาฟิวเจอร์ส ถูกออกแบบให้เป็นสัญญาที่สามารถตกลงตามความต้องการของคู่สัญญาได้ 3. สัญญาฟิวเจอร์ส มีความเสี่ยง ที่จะเกิดการผิดนัดการชำระราคาและส่งมอบของคู่สัญญา 4. มีสภาพคล่องต่ำ ในการซื้อขายเปลี่ยนมือ,3,TRUE,TRUE,TRUE,ตัวเลือก 1 ผิด สัญญาฟิวเจอร์สซื้อขายในศูนย์ซื้อขาย [Exchange] ตัวเลือก 2 ผิด สัญญาฟิวเจอร์สถูกออกแบบให้เป็นสัญญามาตรฐานในขณะที่สัญญาฟอร์เวิร์ตสามารถตกลงตามความต้องการของคู่สัญญา [customized contract] ตัวเลือก 3 ถูก สัญญาฟิวเจอร์สมีสำนักหักบัญชีเป็นตัวกลางในการจัดการ [Clearing House] เป็นคู่สัญญาจึงไม่มีความกังวลเรื่องการผิดนัดชำระราคา ตัวเลือก 4 ผิด สัญญาฟิวเจอร์สมีสภาพคล่องสูง เนื่องจากสามารถทำการซื้อขายเปลี่ยนมือในตลาดรองได้โดยสะดวก
p3,7,ตัวเลือกใดไม่ถูกต้องเกี่ยวกับสัญญาฟิวเจอร์ส,1. สัญญาฟิวเจอร์สเป็นสัญญามาตรฐานที่มีการระบุข้อกำหนดต่างๆ ไว้ชัดเจน ผู้ซื้อและขายจะต่อรองเพียงราคาที่ซื้อขายล่วงหน้าและจำนวนสัญญาเท่านั้น 2. สัญญาฟิวเจอร์สที่อ้างอิงสินค้าเกษตรต้องกำหนดคุณภาพและเกรดสินค้าที่จะใช้ในการส่งมอบ หากสินค้าที่ส่งมอบจริงมีคุณภาพแตกต่างจากที่กำหนดจะมีสูตรปรับราคาให้สอดคล้องกับคุณภาพของสินทรัพย์ที่จะส่งมอบ 3. สัญญาฟิวเจอร์สไม่มีกำหนดช่วงการเปลี่ยนแปลงของราคาสูงสุด สำหรับการซื้อขายในแต่ละวัน Dairy Price Limitแต่จะขึ้นกับการต่อรองราคาระหว่างผู้ซื้อและผู้ขายเป็นสำคัญ 4. สัญญาฟิวเจอร์ส สามารถซื้อขายเพื่อเปลี่ยนมือในตลาดรองได้โดยไม่ต้องได้รับ ความยินยอมจากคู่สัญญาเดิม,3,TRUE,TRUE,TRUE,สัญญาฟิวเจอร์สมีการกำหนดช่วงการเปลี่ยนแปลงของราคาสูงสุดแต่ละวัน (Daily Price Limit) ขึ้นกับประเภทสินค้าตามประกาศของตลาดอนุพันธ์
p3,8,นายเกษม ขายสัญญาฟิวเจอร์สของหุ้นสามัญ จำนวน 1 สัญญา ที่ราคาฟิวเจอร์ส 100 บาทต่อหุ้น สัญญามีอายุ 3 เดือน ตัวเลือกใดถูกต้องเกี่ยวกับผลตอบแทนและความเสี่ยงของสัญญาฟิวเจอร์ส,1. หากสิ้นวัน ราคาฟิวเจอร์สของหุ้นสามัญ เท่ากับ 90 บาท นายเกษมจะได้กำไรจากการถือสัญญาฟิวเจอร์ส 2. หากราคาหุ้นสามัญ ปรับตัวลดลง นายเกษมมีความเสี่ยงที่จะขาดทุนจากการขายสัญญาฟิวเจอร์ส 3. หากในวันหมดอายุสัญญา ราคาของสามัญ เท่ากับ 110 บาท นายเกษมจะมีกำไรจากการขายสัญญาฟิวเจอร์ส 4. ทุกตัวเลือกถูกต้อง,1,TRUE,TRUE,TRUE,ตัวเลือก 1 ถูก หากสิ้นวันราคาฟิวเจอร์สของหุ้นสามัญ ABC เท่ากับ 90 บาท/หุ้น ผลตอบแทน = ขาย(100) - ซื้อ(90) = +10 บาท /หุ้น ดังนั้น นายเกษมมีกำไรจากการขายสัญญาฟิวเจอร์ส 10 บาท/หุ้น ตัวเลือก 2 ผิด หากราคาหุ้นสามัญ ABC ปรับตัวลดลง ราคาฟิวเจอร์สมีแนวโน้มลดลง นายเกษมขายสัญญาฟิวเจอร์ส ดังนั้นจะมีกำไร ตัวเลือก 3 ผิด หากในวันหมดอายุสัญญา ราคาหุ้นสามัญ ABC เท่ากับ 110 บาท ผลตอบแทน = ขาย(100) - ซื้อ(110) = -10 บาท /หุ้น นายเกษมขาดทุนจากการขายสัญญาฟิวเจอร์ส 10 บาท/หุ้น
p3,9,ตัวเลือกใดถูกต้องเกี่ยวกับการกำหนดราคาสัญญาฟิวเจอร์ส,1. ราคาฟิวเจอร์สที่เป็นราคายุติธรรม จะต้องเป็นราคาที่ทำให้มูลค่าสุทธิของสัญญา ณ วันทำ สัญญา มีมูลค่าเป็นบวก จากทั้งมุมมองของผู้ซื้อและผู้ขาย 2. ราคาฟอร์เวิร์ดที่เป็นราคายุติธรรม จะต้องเป็นราคาที่ทำให้มูลค่าสุทธิของสัญญา ณ วันทำ สัญญา มีมูลค่าเป็นลบ จากทั้งมุมมองของผู้ซื้อและผู้ขาย 3. ราคาฟิวเจอร์สที่มีสินทรัพย์อ้างอิงเหมือนกัน คุณภาพสินค้าเหมือนกัน แม้อายุสัญญาแตก ต่างกัน จะมีราคาฟิวเจอร์สที่เท่ากัน 4. ณดุลยภาพราคา ณวันส่งมอบ ราคาฟิวเจอร์สจะมีค่าเท่ากับราคาสินค้าอ้างอิง (Spot price),4,TRUE,TRUE,TRUE,ตัวเลือก 1 ผิด ราคาฟิวเจอร์สที่เป็นราคายุติธรรมจะต้องเป็นราคาที่ทำให้มูลค่าสุทธิของสัญญาณวันทำสัญญามีมูลค่าเป็นศูนย์จากทั้งมุมมองของผู้ซื้อและผู้ขาย ตัวเลือก 2 ผิด ราคาฟอร์เวิร์ดที่เป็นราคายุติธรรมจะต้องเป็นราคาที่ทำให้มูลค่าสุทธิของสัญญาณวันทำสัญญามีมูลค่าเป็นศูนย์จากทั้งมุมมองของผู้ซื้อและผู้ขาย ตัวเลือก 3 ผิด ราคาฟิวเจอร์สที่มีอายุสัญญาแตกต่างกันจะมีราคาฟิวเจอร์สแตกต่างกันตามเดือนส่งมอบเพราะอายุสัญญาเป็นปัจจัยหนึ่งในการกำหนดราคาฟิวเจอร์ส ตัวเลือก 4 ถูก ณ ตอนสิ้นสุดระยะเวลาของสัญญา ราคาณวันส่งมอบจะไม่มีโอกาสทำกำไรจากการทำอาร์บิทราจ ราคาฟิวเจอร์สจะเท่ากับราคาสินค้าอ้างอิง (Spot price)
p3,10,ตัวเลือกใดต่อไปนี้ไม่ใช่ปัจจัยในการกำหนดราคาฟิวเจอร์สของสินค้าโภคภัณฑ์,1. ประโยชน์จากการถือครองสินทรัพย์อ้างอิง 2. เงินปันผล 3. ต้นทุนค่าเก็บรักษาสินค้า 4. ต้นทุนค่าขนส่งสินค้า,2,TRUE,TRUE,TRUE,เงินปันผลไม่ใช่ปัจจัยในการกำหนดราคาฟิวเจอร์สของสินค้าโภคภัณฑ์ แต่เป็นปัจจัยในการกำหนดราคาฟิวเจอร์สของหุ้นสามัญ
