year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,SolutionExplain
plain,1,ตัวเลือกใดต่อไปนี้ถูกต้องที่สุดเกี่ยวกับประเภทของตลาดการเงิน,1. ตราสารที่ซื้อขายในตลาดเงิน เป็นตราสารการเงินระยะสั้นที่หมุนเวียนในตลาดเงินอยู่แล้ว 2. ตลาดตราสารพื้นฐานสามารถจำแนกตามอายุครบถอนออกเป็นตลาดเงิน และตลาดทุน 3. ตลาดทุนเป็นแหล่งกลางสำหรับซื้อขายทั้งตราสารทุน ตราสารหนี้ และตราสารอนุพันธ์ที่มีอายุมากกว่า 1 ปี 4. ในทางปฎิบัติ ตลาดตราสารหนี้เป็นแหล่งกลางซื้อขายตราสารหนี้ระยะยาวของภาครัฐ และภาคเอกชนเท่านั้น,2,TRUE,TRUE,TRUE,ตลาดตราสารพื้นฐานสามารถจำแนกตามอายุครบไถ่ถอนออกเป็นตลาดเงิน และตลาดทุน โดยตราสารการเงินระยะสั้นที่ซื้อขายในตลาดเงินมีทั้งที่ออกใหม่ และที่หมุนเวียนในตลาดเงิน ส่วนตลาดทุนจะประกอบด้วยตลาดตราสารทุน และตลาดตราสารหนี้ ในทางปฏิบัติ ตราสารหนี้ระยะสั้นก็มีการซื้อขายในตลาดตราสารหนี้ด้วยเช่นกัน
plain,2,ตัวเลือกใดต่อไปนี้ถูกต้องที่สุดเกี่ยวกับตราสารตลาดเงิน,1. พันธบัตรที่มีอายุคงเหลือไม่เกิน 1 ปี ถือเป็นตราสารตลาดเงิน 2. ราคาซื้อขายตราสารตลาดเงินในตลาดรองมีความผันผวนมาก 3. ถือเป็นตราสารการเงินที่ไม่มีสภาพคล่อง เพราะมีอายุถอนสั้น 4. มีความเสี่ยงที่เกิดจากการเปลี่ยนแปลงของอัตราดอกเบี้ยในตลาดการเงินสูง,1,TRUE,TRUE,TRUE,ตลาดตราสารเงินเป็นตราสารที่มีสภาพคล่องสูง ราคาซื้อขายมีความผันผวนไม่รุนแรง เมื่ออัตราดอกเบี้ยในตลาดเปลี่ยนแปลงจะส่งผลกระทบต่อราคาตราสารตลาดเงินค่อนข้างน้อย จึงมีความเสี่ยงที่เกิดจากการเปลี่ยนแปลงของอัตราดอกเบี้ยในตลาดการเงินต่ำ โดยตราสารหนี้ที่มีอายุคงเหลือไม่เกิน 1 ปีถือเป็นตราสารตลาดเงิน
plain,3,กำหนดให้อัตราผลตอบแทนที่แท้จริงที่ปราศจากความเสี่ยงเท่ากับ 2.5% อัตราผลตอบแทนที่เป็นตัวเงินที่ปราศจากความเสี่ยงเท่ากับ <% และส่วนชดเชยความเสี่ยงจากการลงทุนในหุ้นกู้ที่ผู้ลงทุนให้ความสนใจจะลงทุนเท่ากับ =% ให้คำนวณหาอัตราผลตอบแทนที่แท้จริงจากการลงทุนในหุ้นกู้ดังกล่าว โดยวิธีใช้ค่าประมาณการ,1. 1.5% 2. 7.5% 3. 9.0% 4. 11.5%,2,TRUE,TRUE,TRUE,หาอัตราผลตอบแทนที่ต้องการจากกรลงทุนในหุ้นกู้ดังกล่าว = 4% + 5% = 9% หาส่วนชดเชยภาวะเงินเฟ้อ = 4% - 2.5% = 1.5% หาอัตราผลตอบแทนที่แท้จริงของหุ้นกู้ดังกล่าว = 9% - 1.5% = 7.5%
plain,4,ตัวเลือกใดต่อไปนี้ ไม่ถูกต้อง เกี่ยวกับแนวคิดมูลค่าเงินตามเวลาของเงิน,1. ใช้ในการวางแผนทางการเงินส่วนบุคคลในด้านต่างๆ 2. ใช้ในการวิเคราะห์หาราคาที่เหมาะสมของหลักทรัพย์ที่จะลงทุน 3. ใช้ในการศึกษาความเป็นไปได้ทางการเงินของโครงการลงทุนต่างๆ 4. ใช้ในการหาจุดคุ้มทุนเพื่อควบคุมต้นทุน และค่าใช้จ่ายต่างๆ ของกิจการ,4,TRUE,TRUE,TRUE,การหาจุดคุ้มทุน ไม่ได้ใช้แนวคิดมูลค่าเงินตามเวลาของเงินแต่อย่างใด
plain,5,ตัวเลือกใดต่อไปนี้ไม่ถูกต้อง เกี่ยวกับการวัดความเสี่ยงจากการลงทุนในหลักทรัพย์,1. ในทางสถิติ สามารถใช้ค่าความแปรปรวน และส่วนเบี่ยงเบนมาตรฐานเพื่อวัดความเสี่ยงจากการลงทุนในหลักทรัพย์เดียวได้ 2. Semi variance ถูกนำมาใช้ในการวัดค่าความเสี่ยง ภายใต้ความเชื่อว่า ผู้ลงทุนจะพิจารณาความไม่แน่นอนจากการลงทุนในด้านลบเท่านั้น 3. ค่าความแปรปรวน ส่วนเบี่ยงเบนมาตรฐาน และ Semi variance เป็นค่าที่ใช้วัดความเสี่ยงทุกประเภทที่เกิดขึ้นจากการลงทุนในหลักทรัพย์นั้น 4. ส่วนเบี่ยงเบนมาตรฐานเป็นการวัดความเสี่ยงโดยรวมที่ยังไม่จำแนกประเภทว่าเป็นความเสี่ยงที่สามารถขจัดได้ หรือขจัดไม่ได้ด้วยการกระจายการลงทุน,3,TRUE,TRUE,TRUE,ค่าความแปรปรวน ส่วนเบี่ยงเบนมาตรฐาน และ Semi variance เป็นค่าที่ใช้วัดความเสี่ยงจากการลงทุนที่เกิดจากความเสี่ยงด้านผลตอบแทนเท่านั้น แต่ในความเป็นจริง การลงทุนยังมีความเสี่ยงประเภทอื่นๆ ที่ผู้ลงทุนต้องคำนึงถึงประกอบการตัดสินใจลงทุนด้วย
plain,6,ผู้ลงทุนจัดสรรเงินลงทุนหลักทรัพย์ A 40% ส่วนที่เหลือจัดสรรเงินลงทุนในหลักทรัพย์ B หากอัตราผลตอบแทนที่คาดหวังของหลักทรัพย์ A และหลักทรัพย์ B เท่ากับ 30% และ 24% ตามลำดับ อัตราผลตอบแทนที่คาดหวังของกลุ่มหลักทรัพย์นี้จะเท่ากับเท่าใด,1. 24.0% 2. 26.4% 3. 27.6% 4. 30.0%,2,TRUE,TRUE,TRUE,อัตราผลตอบแทนที่คาดหวังของกลุ่มหลักทรัพย์ = (0.40 x 30%) + (0.60 x 24%) = 26.40%
plain,7,ตัวเลือกใดต่อไปนี้ถือเป็นความเสี่ยงที่ขจัดได้โดยการกระจายการลงทุน,1. ความผันผวนของราคาน้ำมัน 2. การเพิ่มขึ้นของอัตราดอกเบี้ย 3. การเปลี่ยนแปลงของเทคโนโลยี 4. สหภาพแรงงานประท้วงหยุดงาน,4,TRUE,TRUE,TRUE,คนงานบริษัท หรือสหภาพแรงงานประท้วงหยุดงาน เป็นความเสี่ยงเฉพาะของแต่ละกิจการ ถือเป็นความเสี่ยงที่สามารถขจัดได้ด้วยการกระจายการลงทุน ส่วนความผันผวนของราคาน้ำมัน การเปลี่ยนแปลงของอัตราดอกเบี้ย และเทคโนโลยีเป็นความเสี่ยงที่เกิดจากสภาพแวดล้อมภายนอกที่ไม่สามารถควบคุมได้
plain,8,เมื่อผู้ลงทุนประเมินผลตอบแทนของหลักทรัพย์รายตัวแต่ละชนิด เพื่อลงทุนเป็นส่วนหนึ่งของกลุ่มหลักทรัพย์ ผลตอบแทนจากหลักทรัพย์รายตัวดังกล่าว ควรคุ้มกับความเสี่ยงประเภทใด,1. ความเสี่ยงรวม 2. ความเสี่ยงที่เป็นระบบ 3. ความเสี่ยงที่ไม่เป็นระบบ 4. ความเสี่ยงของหลักทรัพย์รายตัว,2,TRUE,TRUE,TRUE,เมื่อผู้ลงทุนประเมินผลตอบแทนของหลักทรัพย์รายตัวแต่ละชนิด เพื่อลงทุนเป็นส่วนหนึ่งของกลุ่ม หลักทรัพย์ ผลตอบแทนจากหลักทรัพย์รายตัว ควรคุ้มกับความเสี่ยงส่วนที่เป็นระบบที่ส่งผลต่อ ความเสี่ยงของกลุ่มหลักทรัพย์
plain,9,แบบจำลองใดที่จะทำการวัดอัตราผลตอบแทนที่เกิดขึ้นจริงจากกลุ่มหลักทรัพย์เปรียบเทียบ กับอัตราผลตอบแทนที่ควรจะเป็นของกลุ่มหลักทรัพย์ซึ่งคำนวณจากแบบจำลองการกำหนดราคาหลักทรัพย์,1. CAPM 2. Sharpe 3. Treynor 4. Jensen,4,TRUE,TRUE,TRUE,Jensen Model เป็นการวัดอัตราผลตอบแทนที่เกิดขึ้นจริงจากกลุ่มหลักทรัพย์กับอัตราผลตอบแทนที่ควรเป็นของกลุ่มหลักทรัพย์ซึ่งคำนวณจาก CAPM
plain,10,การใช้นโยบายเศรษฐกิจแบบใดที่น่าจะส่งผลดีต่อราคาหลักทรัพย์,1. นโยบายการคลังแบบขาดดุล และนโยบายการเงินแบบผ่อนคลาย 2. นโยบายการคลังแบบเกินดุล และนโยบายการเงินแบบตึงตัว 3. นโยบายการคลังแบบขาดดุล และนโยบายการเงินแบบตึงตัว 4. นโยบายการคลังแบบเกินดุล และนโยบายการเงินแบบผ่อนคลาย,1,TRUE,TRUE,TRUE,นโยบายการคลังแบบขาดดุล และนโยบายการเงินแบบผ่อนคลาย ทำให้เศรษฐกิจมีการขยายตัว การจ้างงานเพิ่มขึ้น ส่งผลดีต่อราคาหลักทรัพย์
